n_diag_sec,n_proc_sec,n_diag_total_input,n_proc_total_input,n_inputs_total,n_classes,params,epochs_run,best_val_accuracy,best_val_loss,test_loss,accuracy,f1_macro,f1_weighted,top3_accuracy,seconds
10,6,11,7,20,113,248150,11,0.8366902470588684,0.6477305293083191,0.6677106022834778,0.8162020905923345,0.7331134997107248,0.8124130234117626,0.9547038078308105,8.69
10,2,11,3,16,113,232734,11,0.837234616279602,0.6449397206306458,0.63956618309021,0.8157665505226481,0.7328404023780295,0.8100307342081475,0.9499129056930542,10.62
34,6,35,7,44,113,328110,12,0.8399564623832703,0.6338415741920471,0.6848217844963074,0.8148954703832753,0.7321442388373887,0.8090331434165987,0.9407665729522705,14.75
4,6,5,7,14,113,196365,12,0.8279803991317749,0.6494429111480713,0.7035574316978455,0.8118466898954704,0.7320794176281454,0.8066766220419325,0.9520906209945679,6.77
24,29,25,30,57,113,373830,12,0.8252585530281067,0.6912986636161804,0.705454409122467,0.8157665505226481,0.7318786255320557,0.8083474044930705,0.9442508816719055,16.75
6,0,7,1,10,113,193769,12,0.824714183807373,0.7000511884689331,0.7445384860038757,0.8122822299651568,0.7317617788843586,0.8047778012026781,0.9512194991111755,6.07
28,6,29,7,38,113,313886,11,0.8410452008247375,0.6302490234375,0.6555492877960205,0.8109756097560976,0.7315847421399895,0.8026947395611403,0.9507839679718018,11.9
12,12,13,13,28,113,279566,11,0.821448028087616,0.6700906753540039,0.6921277046203613,0.8083623693379791,0.7301223746503985,0.8018835276027284,0.946864128112793,13.04
6,16,7,17,26,113,253689,11,0.8361458778381348,0.6430284380912781,0.6828241944313049,0.8127177700348432,0.7291496731668273,0.8066350087607165,0.950348436832428,9.3
10,8,11,9,22,113,255294,11,0.8350571393966675,0.6629703640937805,0.6542454361915588,0.8127177700348432,0.7289317542904412,0.8062882703849515,0.9520906209945679,9.2
20,8,21,9,32,113,298110,11,0.8356015086174011,0.6471936106681824,0.6864948868751526,0.813588850174216,0.7280940959504673,0.8062139714295895,0.946864128112793,10.77
12,0,13,1,16,113,232230,11,0.8274360299110413,0.6839033961296082,0.7150048017501831,0.8022648083623694,0.727689913811958,0.7966775035172042,0.9464285969734192,7.6
8,0,9,1,12,113,209766,12,0.8252585530281067,0.7388589978218079,0.7142384052276611,0.8083623693379791,0.72764322840167,0.8004684020863019,0.9494773745536804,6.48
10,24,11,25,38,113,304902,11,0.8383233547210693,0.6491467952728271,0.6702730655670166,0.8144599303135889,0.7271469846970738,0.8066609252356097,0.9520906209945679,15.47
28,20,29,21,52,113,359046,12,0.824714183807373,0.6660044193267822,0.6896829009056091,0.8118466898954704,0.7270445089571087,0.8041246454355835,0.957317054271698,15.97
8,29,9,30,41,113,307038,12,0.8345127701759338,0.6647811532020569,0.7078014612197876,0.8105400696864111,0.7269477392736725,0.8053789915709121,0.9525261521339417,14.01
10,12,11,13,26,113,268870,11,0.8426783084869385,0.6372355222702026,0.6732328534126282,0.813588850174216,0.726791174844074,0.8080357889674731,0.9486062526702881,9.22
4,8,5,9,16,113,203509,11,0.832335352897644,0.6546047925949097,0.6766417026519775,0.806184668989547,0.7255726131557287,0.8007582940849317,0.9555749297142029,6.87
10,0,11,1,14,113,221534,11,0.8192705512046814,0.6936884522438049,0.7113842964172363,0.8048780487804879,0.7252471478576176,0.7961995842420192,0.9490417838096619,10.37
28,10,29,11,42,113,327878,11,0.8296135067939758,0.671079158782959,0.6844393610954285,0.8083623693379791,0.7248500513387562,0.8006161454074561,0.9533972144126892,12.8
8,4,9,5,16,113,228862,11,0.8301578760147095,0.6720641255378723,0.6654086112976074,0.8092334494773519,0.7247424382645999,0.8041799894946913,0.9525261521339417,7.14
4,0,5,1,8,113,169749,12,0.8274360299110413,0.6946626305580139,0.7531392574310303,0.8005226480836237,0.7246148253560656,0.7950128924237291,0.9525261521339417,5.37
6,20,7,21,30,113,265545,11,0.8290691375732422,0.6750496625900269,0.7191670536994934,0.8070557491289199,0.7231208010115148,0.8001060129727418,0.9464285969734192,10.41
6,24,7,25,34,113,277137,11,0.8312466144561768,0.6504760980606079,0.7217167019844055,0.8087979094076655,0.7229875508924616,0.802395226210787,0.946864128112793,11.22
20,0,21,1,24,113,264350,11,0.8307022452354431,0.6937713027000427,0.7444470524787903,0.8013937282229965,0.7227814358132896,0.7925871739160739,0.9451219439506531,8.6
10,29,11,30,43,113,318806,11,0.8312466144561768,0.6558675169944763,0.6818793416023254,0.8140243902439024,0.7221553543317535,0.8065763715685464,0.9529616832733154,18.48
6,12,7,13,22,113,241105,11,0.8258029222488403,0.6875898838043213,0.7114991545677185,0.8009581881533101,0.7214813941197793,0.7940255620221973,0.950348436832428,8.41
10,20,11,21,34,113,293310,11,0.8258029222488403,0.6492171287536621,0.7084342241287231,0.8044425087108014,0.7207675509387221,0.7992912120657419,0.9472996592521667,13.68
4,20,5,21,28,113,241525,11,0.8241698145866394,0.6669307947158813,0.6947877407073975,0.8035714285714286,0.7200188888181006,0.7976249362541463,0.9520906209945679,9.58
4,29,5,30,37,113,267021,11,0.821448028087616,0.6714901924133301,0.7552624344825745,0.8053135888501742,0.71990310762343,0.7964013130731377,0.9494773745536804,11.79
20,10,21,11,34,113,304958,11,0.8339684009552002,0.6413436532020569,0.6795995235443115,0.8087979094076655,0.7184227039320972,0.8016628252858883,0.9499129056930542,12.3
34,20,35,21,58,113,373270,12,0.8356015086174011,0.6710308194160461,0.7172017693519592,0.8057491289198606,0.7182562912587205,0.7996981587804006,0.946864128112793,19.1
10,10,11,11,24,113,262142,11,0.8383233547210693,0.6359574198722839,0.6713123321533203,0.8066202090592335,0.7169103585442205,0.7980607201578197,0.9560104608535767,9.2
4,2,5,3,10,113,180949,11,0.8209036588668823,0.6657116413116455,0.7114970088005066,0.7992160278745645,0.7165491513483985,0.792216131978184,0.9490417838096619,5.58
16,16,17,17,36,113,309958,11,0.8236255049705505,0.6607881784439087,0.7035106420516968,0.8066202090592335,0.7164867047170794,0.7986094151536665,0.9516550302505493,11.52
16,4,17,5,24,113,269134,11,0.8415895700454712,0.6477164030075073,0.6807387471199036,0.8109756097560976,0.7164615942024366,0.8016146586342079,0.9499129056930542,8.65
4,4,5,5,12,113,188845,11,0.8230811357498169,0.6931492686271667,0.7193466424942017,0.8000871080139372,0.7158011461436016,0.7935582233075061,0.9529616832733154,6.03
4,12,5,13,20,113,217085,11,0.8230811357498169,0.6709412336349487,0.7002493143081665,0.8009581881533101,0.7146440159895235,0.7957403957039003,0.9520906209945679,7.83
4,16,5,17,24,113,229669,11,0.8301578760147095,0.631624162197113,0.7079548835754395,0.7983449477351916,0.7096274750277739,0.790240141325473,0.9507839679718018,8.62
8,10,9,11,22,113,250374,11,0.8334240317344666,0.6760857105255127,0.7154799699783325,0.8092334494773519,0.7092758674261673,0.7992987182484393,0.9459930062294006,8.45
4,10,5,11,18,113,210357,11,0.8154599666595459,0.6783688068389893,0.75711989402771,0.7961672473867596,0.7023415190883588,0.7896668756872761,0.946864128112793,7.42
2,6,3,7,12,113,158352,12,0.7931410074234009,0.7567559480667114,0.8150824308395386,0.7791811846689896,0.6977990415934183,0.7740910205236872,0.9507839679718018,6.28
2,16,3,17,22,113,191656,11,0.7833424210548401,0.7544739246368408,0.7954237461090088,0.7796167247386759,0.6904501957239126,0.7707827947994292,0.9529616832733154,8.34
2,20,3,21,26,113,203512,11,0.7876973152160645,0.7555870413780212,0.8006508946418762,0.7791811846689896,0.6900398578439461,0.7694777849232356,0.9455574750900269,9.2
2,29,3,30,35,113,229008,12,0.7904191613197327,0.7348679900169373,0.8055102229118347,0.7787456445993032,0.6887523339469644,0.7696484136585827,0.9499129056930542,11.99
2,8,3,9,14,113,165496,11,0.7947741150856018,0.7216532230377197,0.7819015383720398,0.7800522648083623,0.6883937712226421,0.7702017087897289,0.9507839679718018,6.36
2,4,3,5,10,113,150832,12,0.7936853766441345,0.7445687651634216,0.8156301975250244,0.7730836236933798,0.6838497416696383,0.7662040884168199,0.9472996592521667,5.74
2,12,3,13,18,113,179072,12,0.7860642075538635,0.7182432413101196,0.8013855218887329,0.7682926829268293,0.680220872284225,0.7616375408232292,0.9481707215309143,7.64
2,24,3,25,30,113,215104,12,0.7822536826133728,0.7332097887992859,0.8199207186698914,0.764808362369338,0.6796438681364249,0.7585566825486354,0.9499129056930542,10.5
2,2,3,3,8,113,142936,12,0.7904191613197327,0.7649973034858704,0.7876307368278503,0.7704703832752613,0.6742687534848232,0.7594144943094917,0.9520906209945679,5.29
2,10,3,11,16,113,172344,11,0.7915078997612,0.7375518083572388,0.774181604385376,0.7687282229965157,0.6739699977647369,0.7600682827682079,0.9560104608535767,6.92
2,0,3,1,6,113,131736,12,0.7844311594963074,0.7629664540290833,0.8400487899780273,0.7652439024390244,0.6729759064290202,0.7560859605499809,0.9451219439506531,4.85
0,12,1,13,16,113,119100,12,0.6837234497070312,0.9300782680511475,0.9502644538879395,0.6837979094076655,0.5326921698600017,0.6312035254288172,0.9520906209945679,7.1
0,6,1,7,10,113,98380,12,0.6755579710006714,0.9162078499794006,0.9581167101860046,0.6785714285714286,0.5304765863071,0.6245215169718257,0.9516550302505493,6.09
0,24,1,25,28,113,155132,12,0.6820903420448303,0.9493680596351624,0.9491004943847656,0.6829268292682927,0.5291941794028893,0.6315287721731033,0.9486062526702881,10.01
0,10,1,11,14,113,112372,12,0.6880784034729004,0.9248740077018738,0.9572247862815857,0.6842334494773519,0.5234696870474731,0.6278246643286477,0.9542682766914368,6.78
0,20,1,21,24,113,143540,12,0.6880784034729004,0.942597508430481,0.9541692137718201,0.6763937282229965,0.5185017580593475,0.6213132813960656,0.9512194991111755,8.99
0,8,1,9,12,113,105524,12,0.6848121881484985,0.9415148496627808,0.958613395690918,0.6772648083623694,0.5121222338108452,0.6148607651126965,0.9477351903915405,6.42
0,4,1,5,8,113,90860,12,0.6793685555458069,0.9025958776473999,0.9447048306465149,0.6724738675958188,0.5119232543683072,0.6150965457995234,0.9512194991111755,5.44
0,16,1,17,20,113,131684,11,0.6837234497070312,0.953026533126831,0.953694760799408,0.676829268292683,0.5049555060923278,0.6154655010863843,0.946864128112793,7.79
0,29,1,30,33,113,169036,12,0.6848121881484985,0.9493096470832825,0.9788783192634583,0.6655052264808362,0.5018804216866392,0.611951347793787,0.943379819393158,11.16
0,0,1,1,4,113,71764,12,0.6641262769699097,1.0071630477905273,1.0189281702041626,0.6589721254355401,0.5017019126328401,0.5962037331358448,0.9333623647689819,4.93
0,2,1,3,6,113,82964,12,0.6782798171043396,0.9603665471076965,0.9553141593933105,0.6668118466898955,0.4907056889225235,0.6029947457948537,0.9499129056930542,5.04
