model_family,n_diag_sec,n_proc_sec,dense_layers,dropouts,accuracy,macro_f1,weighted_f1,top3_accuracy,epochs_run,best_val_loss,seconds
Neural Network,24,4,"[256, 128]","[0.35, 0.25]",0.8179442508710801,0.7382421366556221,0.8127966524425393,0.9516550302505493,12,0.6407544612884521,10.7
Neural Network,16,4,"[256, 128]","[0.35, 0.25]",0.8196864111498258,0.7378189271547364,0.8122731671843891,0.9486062526702881,11,0.666231095790863,8.5
Neural Network,16,12,"[256, 128]","[0.35, 0.25]",0.820993031358885,0.7374786393462343,0.810828210414602,0.9490417838096619,12,0.6203321814537048,10.83
Neural Network,12,6,"[256, 128]","[0.35, 0.25]",0.818815331010453,0.73741319948141,0.8125364601046043,0.9446864128112793,12,0.6694270968437195,8.46
Neural Network,12,10,"[256, 128]","[0.35, 0.25]",0.8192508710801394,0.7369940602987846,0.8118130550339928,0.9442508816719055,12,0.6714937686920166,9.33
Neural Network,34,10,"[256, 128]","[0.35, 0.25]",0.8144599303135889,0.7369358310059508,0.8071408306406684,0.9459930062294006,12,0.6249149441719055,14.5
Neural Network,20,6,"[256, 128]","[0.35, 0.25]",0.8175087108013938,0.7360791236380454,0.8121629586815149,0.9520906209945679,12,0.6316899061203003,10.71
Neural Network,20,4,"[256, 128]","[0.35, 0.25]",0.8170731707317073,0.7357602921825966,0.8098403846246616,0.9481707215309143,12,0.6370781064033508,9.92
Neural Network,24,16,"[256, 128]","[0.35, 0.25]",0.8127177700348432,0.735339207958225,0.8061884802103461,0.9442508816719055,12,0.6397594809532166,13.72
Neural Network,28,20,"[256, 128]","[0.35, 0.25]",0.8140243902439024,0.7350284470069807,0.8075592815687828,0.9520906209945679,12,0.6479994654655457,15.37
Neural Network,12,29,"[256, 128]","[0.35, 0.25]",0.8153310104529616,0.7347893694095491,0.8051984082809599,0.950348436832428,11,0.6745128631591797,13.33
Neural Network,16,8,"[256, 128]","[0.35, 0.25]",0.8183797909407665,0.7340069245890316,0.8099741139784135,0.9494773745536804,12,0.6340915560722351,10.38
