accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,model_family,n_diag_sec,n_proc_sec,main_hyperparameters,seconds
0.6567944250871081,0.5411185668321236,0.6416317433266091,0.5713482203265803,0.5462710004715507,0.9089721254355401,Random Forest,20,12,"300 trees, balanced_subsample, sqrt features",1.68
0.6576655052264808,0.5385690712302482,0.6392659809779658,0.5767068362626615,0.5467816433439261,0.9102787456445993,Random Forest,6,12,"300 trees, balanced_subsample, sqrt features",1.61
0.6563588850174216,0.538537684156703,0.6398688996813005,0.5715762909538343,0.5445686666429335,0.9094076655052264,Random Forest,8,12,"300 trees, balanced_subsample, sqrt features",1.62
0.6524390243902439,0.5384695081962054,0.6397223505709451,0.5623982053345699,0.5439708947333795,0.9033101045296167,Random Forest,20,6,"300 trees, balanced_subsample, sqrt features",1.64
0.649390243902439,0.5381246971926816,0.6359890870116854,0.5741320577766726,0.540490528796001,0.9011324041811847,Random Forest,28,8,"300 trees, balanced_subsample, sqrt features",1.72
0.6498257839721254,0.5375722624705708,0.6390911186091045,0.5554572505150882,0.5476182287850367,0.8972125435540069,Random Forest,34,4,"300 trees, balanced_subsample, sqrt features",1.51
0.6506968641114983,0.5375680973864166,0.6356328083208455,0.565405872260968,0.5401842573066505,0.9024390243902439,Random Forest,4,16,"300 trees, balanced_subsample, sqrt features",1.52
0.6476480836236934,0.5373238263618512,0.6289017774324991,0.5562319356711306,0.5493933002953795,0.9229094076655052,Random Forest,2,10,"300 trees, balanced_subsample, sqrt features",1.51
0.6511324041811847,0.5369173477022178,0.6385233870036313,0.570765067024584,0.5397234500192644,0.9011324041811847,Random Forest,20,8,"300 trees, balanced_subsample, sqrt features",1.67
0.6515679442508711,0.5365504577183918,0.6394546486064124,0.562094737957777,0.5407680840268596,0.9072299651567944,Random Forest,12,8,"300 trees, balanced_subsample, sqrt features",1.59
0.6537456445993032,0.5354821729608598,0.6379782864082784,0.5652217070615129,0.5407138707140137,0.9033101045296167,Random Forest,16,12,"300 trees, balanced_subsample, sqrt features",1.65
0.6463414634146342,0.5343614513883086,0.6353448964112048,0.5555319418315501,0.5429769876617099,0.9002613240418118,Random Forest,24,6,"300 trees, balanced_subsample, sqrt features",1.61
0.6415505226480837,0.534204328575065,0.6289793946789112,0.5655259113630724,0.5326690922848947,0.8972125435540069,Random Forest,4,29,"300 trees, balanced_subsample, sqrt features",1.68
0.6472125435540069,0.5333901092718016,0.6344776473041103,0.5721036048097564,0.5360676756762456,0.8937282229965157,Random Forest,20,10,"300 trees, balanced_subsample, sqrt features",1.67
0.6498257839721254,0.5333895413201366,0.6362394749409834,0.5758942784977343,0.5380798159706115,0.9002613240418118,Random Forest,24,10,"300 trees, balanced_subsample, sqrt features",1.69
0.649390243902439,0.5323607771660649,0.6321522485044531,0.556644872250985,0.5395836261696433,0.9011324041811847,Random Forest,12,16,"300 trees, balanced_subsample, sqrt features",1.69
0.6511324041811847,0.5319347294712796,0.6350850379602009,0.5640287392420558,0.5354507540952422,0.8985191637630662,Random Forest,10,24,"300 trees, balanced_subsample, sqrt features",1.74
0.6524390243902439,0.5318976624984951,0.6350084028154891,0.5563812776108287,0.5388205431577135,0.9002613240418118,Random Forest,6,20,"300 trees, balanced_subsample, sqrt features",1.64
0.6533101045296167,0.5316990244523411,0.6356302798455404,0.5636560916792278,0.5367415047103397,0.9020034843205574,Random Forest,8,24,"300 trees, balanced_subsample, sqrt features",1.73
0.6467770034843205,0.5291615920355667,0.6320011268040251,0.5647115719841861,0.5314389508307884,0.8985191637630662,Random Forest,6,29,"300 trees, balanced_subsample, sqrt features",1.73
0.6389372822299652,0.5288432465217745,0.6207539213712825,0.5483033371630386,0.5391194570363984,0.9168118466898955,Random Forest,2,12,"300 trees, balanced_subsample, sqrt features",1.59
0.644163763066202,0.5287044052677402,0.6299108700968178,0.5571827923982703,0.5318859239692604,0.9028745644599303,Random Forest,4,20,"300 trees, balanced_subsample, sqrt features",1.66
